Report,District Name,RCDTS,Participating?,NCESID,ROE_x,Type,School Name,City,County,District Type,District Size,School Type_x,Grades Served,Avg Class Size - All Grades,Summative Designation,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% 8th Grade Passing Algebra 1,Student Attendance Rate,Student Mobility Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,Avg Class Size - All Grades.1,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Total Teacher FTE,Avg Teaching Exp,% Novice Teachers,Teacher Retention Rate,Teacher Attendace Rate,Teacher Evaluation Rate,Principal Turnover within 6 Years,Teacher Avg Salary,Admin Avg Salary,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction Level,Climate Survey Student Response Rate,Climate Survey Teacher Response Rate,# ELA Proficiency,# ELA Student Participation,# Math Proficiency,# Math Participation Total Student,ELA Growth Percentile - Total,Math Growth Percentile,# Science Proficiency,# Science Student Participation,% Science Proficiency,# 9th Grade on Track,% 9th Grade on Track,Chronic Absenteeism,# Students with Discipline Incidents,# Discipline Incidents,# Discipline Incidents - Expulsion: Received Educational Srvcs,# Discipline Incidents - Expulsion: Did not Receive Educational Srvcs,# Discipline Incidents - In-school Suspension,# Discipline Incidents - Out-of-School Suspension,# Discipline Incidents - Removal,key,School EntityID,School Type_y,#Dist Entity ID,ISBE Region,ROE Area,CohortYear,Tier,ROE Name,school_id,student_response_rate,teacher_response_rate,student_n,teacher_n,cdis1,colb,colr,inf3,innv,ins3,pgmc,pnfl,prt4,prti,qpd2,refd,scmt,sdis,socz,trpa,trpr,trte,tsaf,uexp,acno,clar,engg,engl,futr,humr,math,peer,perc,pres,prs2,rigr,safe1,scie,slap,stdy,trts,leaders,teachers,families,environment,instruction,5essentials_overall_score,net5e,State Name [Public School] Latest available year,School Name [Public School] 2021-22,StateID,ParticipatingSchools,Agency Name [Public School] 2021-22,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 2021-22,Locale,FRL_percent,Female_percent,American Indian/Alaska Native Students [Public School] 2021-22,Asian or Asian/Pacific Islander Students [Public School] 2021-22,Hispanic Students [Public School] 2021-22,Black or African American Students [Public School] 2021-22,White Students [Public School] 2021-22,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22,Two or More Races Students [Public School] 2021-22,Pupil/Teacher Ratio [Public School] 2021-22,School size,Title I School Status [Public School] 2021-22,State School ID [Public School] 2021-22,State Agency ID [Public School] 2021-22,National School Lunch Program [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2021-22,Male Students [Public School] 2021-22,Female Students [Public School] 2021-22,American Indian/Alaska Native Students [Public School] 2021-22.1,Asian or Asian/Pacific Islander Students [Public School] 2021-22.1,Hispanic Students [Public School] 2021-22.1,Black or African American Students [Public School] 2021-22.1,White Students [Public School] 2021-22.1,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22.1,Two or More Races Students [Public School] 2021-22.1,Total Race/Ethnicity [Public School] 2021-22,teacher_count,Pupil/Teacher Ratio [Public School] 2021-22.1,School Level (SY 2017-18 onward) [Public School] 2021-22,Lowest Grade Offered [Public School] 2021-22,Highest Grade Offered [Public School] 2021-22,ROE_y,ROE_AREA,ROE_AREA_Name
Beardstown Jr/Sr High School- Beardstown CUSD 15,Beardstown CUSD 15,1.00902E+13,1.00902E+13,1.70531E+11,1,School,Beardstown Jr/Sr High School,Beardstown,Cass,UNIT,MEDIUM,HIGH SCHOOL,12-May,24,Commendable,813,30.3,9,57.4,,,,,14.4,14.4,44,64.9,2.1,21.6,92.8,15.7,133,15,5.7,83.5,19.7,4.5,,,,,86.7,,,2,,,47,3,36,2,35,2,37,2,47,3,65,57.1,40,476,20,475,42.6,39.4,89,285,31.7,94,86.2,23.5,101,219,Not Provided,,147,72,Not Provided,Beardstown Jr/Sr High School- Beardstown CUSD 15,906,"High School,Middle/Jr. High",905,1,3,2023,TComp,West Central,1641,65,57.1,829,84,53,38,22,31,1,35,61,40,33,66,41,38,41,40,99,31,62,36,44,26,61,52,72,54,1,56,52,42,56,41,32,32,28,40,39,71,53,47,36,35,37,47,1,-3,Illinois,Beardstown Jr/Sr High School,1.00902E+13,1,Beardstown CUSD 15,1705310,33-Town: Remote,3,0.987878788,0.455757576,0.004848485,0.013333333,0.539393939,0.106666667,0.318787879,0.004848485,0.012121212,15.22,825,4-Title I schoolwide eligible school-No program,IL-01-009-0150-26-0100901500007,IL-01-009-0150-26,No,815,449,376,4,11,445,88,263,4,10,825,54.19,15.22,High,5th Grade,12th Grade,1,3,West Central
Gard Elementary School- Beardstown CUSD 15,Beardstown CUSD 15,1.00902E+13,,1.70531E+11,1,School,Gard Elementary School,Beardstown,Cass,UNIT,MEDIUM,ELEMENTARY,K - 4,24,Commendable,470,26,13.2,38.7,,3,,16.6,19.4,19.4,61.5,73.4,,,92,13.8,37,9.5,,,17.7,5,,,,,83.5,,,2,,,,0,,0,,0,,0,,0,34.4,31.8,13,161,13,161,45.2,51.8,,,,,,29.2,12,15,,,8,7,,,,,,,,,,,1643,34.4,31.8,90,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Illinois,Gard Elementary School,1.00902E+13,0,Beardstown CUSD 15,1705310,33-Town: Remote,3,0.984978541,0.472103004,0.006437768,0.019313305,0.450643777,0.122317597,0.276824034,0.010729614,0.113733906,11.95,466,5-Title I schoolwide school,IL-01-009-0150-26-0100901502003,IL-01-009-0150-26,No,459,246,220,3,9,210,57,129,5,53,466,39,11.95,Elementary,Kindergarten,4th Grade,1,3,West Central
Grand Ave Sch- Beardstown CUSD 15,Beardstown CUSD 15,1.00902E+13,,1.70531E+11,1,School,Grand Ave Sch,Beardstown,Cass,UNIT,MEDIUM,PreK,PK,21.9,,177,17.5,17.5,26,,,,33.9,18.1,17.5,78,79.1,,,,,,,,,,,,,,,100,,,1,,,,0,,0,,0,,0,,0,0,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644,0,21.4,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Illinois,Grand Ave Sch,1.00902E+13,0,Beardstown CUSD 15,1705310,33-Town: Remote,3,1,0.478873239,0.014084507,0.007042254,0.225352113,0.218309859,0.183098592,0.014084507,0.338028169,30.87,142,4-Title I schoolwide eligible school-No program,IL-01-009-0150-26-0100901503002,IL-01-009-0150-26,No,142,74,68,2,1,32,31,26,2,48,142,4.6,30.87,Prekindergarten,Prekindergarten,Prekindergarten,1,3,West Central
Virginia Jr/ Sr High School- Virginia CUSD 64,Virginia CUSD 64,1.00906E+13,,1.74041E+11,1,School,Virginia Jr/ Sr High School,Virginia,Cass,UNIT,SMALL,HIGH SCHOOL,12-Jun,18.3,Commendable,132,90.2,,,,,,,25.8,12.9,,50,,23.8,92.2,11.6,14,9.5,,89.5,12.7,5,,,,,83.8,,,4,,,46,3,36,2,45,3,42,3,58,3,86.5,73.3,39,82,27,82,57.4,42.4,21,35,60,17,94.4,24.3,33,49,,,25,24,,,,,,,,,,,43131,86.5,73.3,133,15,42,19,41,43,26,47,51,46,59,75,62,10,46,51,98,29,42,10,57,34,64,49,77,61,1,82,56,40,44,62,77,34,46,68,27,55,61,46,36,45,42,58,2,-1,Illinois,Virginia Jr/ Sr High School,1.00906E+13,0,Virginia CUSD 64,1740410,43-Rural: Remote,4,0.552447552,0.48951049,0.006993007,0.006993007,0.027972028,,0.909090909,,0.048951049,11.22,143,4-Title I schoolwide eligible school-No program,IL-01-009-0640-26-0100906400003,IL-01-009-0640-26,No,79,73,70,1,1,4,–,130,–,7,143,12.74,11.22,High,6th Grade,12th Grade,1,3,West Central
Virginia Elementary School- Virginia CUSD 64,Virginia CUSD 64,1.00906E+13,,1.74041E+11,1,School,Virginia Elementary School,Virginia,Cass,UNIT,SMALL,ELEMENTARY,PK - 5,17,Commendable,177,90.4,,,,,,,20.9,15.3,,65.5,,,93.6,,15,11.5,,,21.1,5,,,,,80.6,,,3,,,50,3,11,1,30,2,71,4,70,4,99.9,88.9,24,84,22,84,40.3,57.5,18,25,72,,,18.4,12,25,,,23,2,,,,,,,,,,,4623,99.9,88.9,43,9,,1,6,51,3,25,61,16,42,,30,2,17,,90,33,64,1,12,,99,,91,57,,,74,,67,80,,91,50,,,99,67,50,11,30,71,70,3,0,Illinois,Virginia Elem School,1.00906E+13,0,Virginia CUSD 64,1740410,43-Rural: Remote,4,0.605555556,0.538888889,,,0.033333333,0.033333333,0.905555556,,0.027777778,15.57,180,5-Title I schoolwide school,IL-01-009-0640-26-0100906402001,IL-01-009-0640-26,No,109,83,97,–,–,6,6,163,–,5,180,11.56,15.57,Elementary,Prekindergarten,5th Grade,1,3,West Central
A-C Central High School- A-C Central CUSD 262,A-C Central CUSD 262,1.00926E+13,,1.70011E+11,1,School,A-C Central High School,Ashland,Cass,UNIT,SMALL,HIGH SCHOOL,12-Sep,21.5,Commendable,107,96.3,,,,,,,,,,33.6,,,91.6,,,,,93.1,10.6,5,,,,,73.1,,,4,,,32,2,18,1,24,2,41,3,30,2,99.9,62.5,6,24,4,24,,,11,23,47.8,27,90,31.6,Not Provided,Not Provided,,,Not Provided,Not Provided,,,,,,,,,,,1466,99.9,62.5,110,16,70,7,26,18,1,25,58,34,27,55,35,7,13,17,80,10,28,10,57,26,60,24,55,27,1,71,28,48,45,48,33,26,43,53,40,31,53,32,18,24,41,30,1,-4,Illinois,A-C Central High School,1.00926E+13,0,A-C Central CUSD 262,1700105,42-Rural: Distant,4,0.456896552,0.431034483,,,0.017241379,,0.974137931,,0.00862069,7.86,116,4-Title I schoolwide eligible school-No program,IL-01-009-2620-26-0100926200002,IL-01-009-2620-26,No,53,66,50,–,–,2,–,113,–,1,116,14.75,7.86,High,9th Grade,12th Grade,1,3,West Central
A-C Central Middle School- A-C Central CUSD 262,A-C Central CUSD 262,1.00926E+13,,1.70011E+11,1,School,A-C Central Middle School,Ashland,Cass,UNIT,SMALL,MIDDLE SCHL,8-May,18.3,Commendable,82,87.8,,,,,,,15.9,15.9,,56.1,,40,93.6,16,,,,,14.7,5,,,,,88.2,,,4,,,33,2,13,1,,0,40,3,41,3,98.8,88.9,18,91,8,91,31.8,33.2,23,49,47.9,,,15.4,Not Provided,Not Provided,,,Not Provided,Not Provided,,,,,,,,,,,1467,98.8,88.9,85,9,55,,9,53,1,1,50,28,,57,19,4,23,28,84,,27,2,41,,27,48,51,30,,68,58,16,56,46,11,10,35,40,,42,42,33,13,,40,41,2,-2,Illinois,A-C Central Middle School,1.00926E+13,0,A-C Central CUSD 262,1700105,42-Rural: Distant,4,0.53125,0.520833333,,,0.041666667,0.020833333,0.90625,,0.03125,10.38,96,2-Title I targeted assistance school,IL-01-009-2620-26-0100926201002,IL-01-009-2620-26,No,51,46,50,–,–,4,2,87,–,3,96,9.25,10.38,Middle,5th Grade,8th Grade,1,3,West Central
A-C Central Elementary School- A-C Central CUSD 262,A-C Central CUSD 262,1.00926E+13,,1.70011E+11,1,School,A-C Central Elementary School,Chandlerville,Cass,UNIT,SMALL,ELEMENTARY,PK - 4,20.2,,147,97.3,,,,,,,8.8,8.8,,48.3,,,93.1,,,,,,13.7,5,,,,,80,,,2,,,42,3,22,2,30,2,55,3,37,2,90.9,56.5,18,47,21,47,39.7,40.9,,,,,,23.1,2,4,,,1,3,,,,,,,,,,,1465,90.9,56.5,22,23,59,8,24,47,12,22,51,29,34,46,12,1,26,49,99,26,49,41,51,,99,,95,18,,,6,,60,76,,31,21,,,42,39,42,22,30,55,37,1,-3,Illinois,A-C Central Elementary School,1.00926E+13,0,A-C Central CUSD 262,1700105,43-Rural: Remote,4,0.52866242,0.52866242,,,,0.012738854,0.961783439,,0.025477707,11.63,157,2-Title I targeted assistance school,IL-01-009-2620-26-0100926202001,IL-01-009-2620-26,No,83,74,83,–,–,–,2,151,–,4,157,13.5,11.63,Elementary,Prekindergarten,4th Grade,1,3,West Central
Franklin Jr/Sr High School- Franklin CUSD 1,Franklin CUSD 1,1.069E+13,,1.71575E+11,1,School,Franklin Jr/Sr High School,Franklin,Morgan,UNIT,SMALL,HIGH SCHOOL,12-Jun,20.5,Commendable,154,96.1,,,,,,,15.6,14.3,,26.6,,81.5,92.1,7,,,,92.3,14.3,3.4,,,,,82.4,,,2,,,35,2,28,2,59,3,37,2,42,3,93.2,91.3,10,85,13,85,31.1,39.6,26,48,54.2,24,92.3,23.9,3,3,,,1,2,,,,,,,,,,,2590,93.2,91.3,146,23,81,4,19,26,1,25,63,46,61,76,38,27,50,54,29,70,27,27,66,32,52,30,36,23,1,88,47,64,40,42,84,19,42,50,20,67,52,35,28,59,37,42,1,-3,Illinois,Franklin Jr/Sr High School,1.069E+13,0,Franklin CUSD 1,1715750,42-Rural: Distant,4,0.279069767,0.470930233,,,0.011627907,0.005813953,0.959302326,,0.023255814,10.75,172,2-Title I targeted assistance school,IL-01-069-0010-26-0106900100001,IL-01-069-0010-26,No,48,91,81,–,–,2,1,165,–,4,172,16,10.75,High,6th Grade,12th Grade,1,3,West Central
Franklin East Grade School- Franklin CUSD 1,Franklin CUSD 1,1.069E+13,,1.71575E+11,1,School,Franklin East Grade School,Franklin,Morgan,UNIT,SMALL,ELEMENTARY,PK - 2,20.5,,70,98.6,,,,,,,17.1,,,30,,,94,,,,,,17,5,,,,,90,,,3,,,,0,,0,,0,,0,,0,0,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2589,0,99.9,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Illinois,Franklin East Grade School,1.069E+13,0,Franklin CUSD 1,1715750,42-Rural: Distant,4,0.328571429,0.514285714,,,,,0.985714286,,0.014285714,14,70,2-Title I targeted assistance school,IL-01-069-0010-26-0106900102005,IL-01-069-0010-26,No,23,34,36,–,–,–,–,69,–,1,70,5,14,Elementary,Prekindergarten,2nd Grade,1,3,West Central
Franklin Elementary School- Franklin CUSD 1,Franklin CUSD 1,1.069E+13,,1.71575E+11,1,School,Franklin Elementary School,Franklin,Morgan,UNIT,SMALL,ELEMENTARY,5-Mar,18.4,Exemplary,56,96.4,,,,,,,17.9,17.9,,19.6,,,95,,,,,,18,5,,,,,90.9,,,2,,,,0,,0,,0,51,3,37,2,97.7,80,31,56,13,56,60.4,54.4,10,14,71.4,,,,,,,,,,,,,,,,,,,,44661,97.7,80,43,5,,,,,,,,,,,,,,,,,,,,,62,,58,26,,,38,,42,47,,66,43,,,72,58,,,,51,37,2,-1,ILLINOIS,Franklin Elementary School,1.069E+13,0,Franklin CUSD 1,1715750,42-Rural: Distant,4,0.25,0.535714286,0.017857143,,0.017857143,,0.964285714,,,9.21,56,2-Title I targeted assistance school,IL-01-069-0010-26-0106900102006,IL-01-069-0010-26,No,14,26,30,1,–,1,–,54,–,–,56,6.08,9.21,Elementary,3rd Grade,5th Grade,1,3,West Central
Waverly Junior/Senior High School- Waverly CUSD 6,Waverly CUSD 6,1.06901E+13,,1.74128E+11,1,School,Waverly Junior/Senior High School,Waverly,Morgan,UNIT,SMALL,HIGH SCHOOL,12-Jul,18.4,Commendable,129,94.6,,,,,,,13.2,13.2,,51.9,,28,90.7,8.7,30,21.3,,90.5,12.5,5,,,,,64.7,,,3,,,,0,,0,,0,35,2,50,3,77.5,61.5,11,63,12,62,38.6,39.5,15,39,38.5,17,85,35.5,13,26,,,6,20,,,,,,,,,,,4685,77.5,61.5,129,13,,,19,,,,,,,,,27,14,,,,,,,,59,43,62,60,1,70,43,43,43,47,44,34,48,47,14,56,42,,,,35,50,2,-1,Illinois,Waverly Junior/Senior High School,1.06901E+13,0,Waverly CUSD 6,1741280,42-Rural: Distant,4,0.450331126,0.437086093,,0.01986755,0.006622517,0.006622517,0.940397351,,0.026490066,16.85,151,2-Title I targeted assistance school,IL-01-069-0060-26-0106900600001,IL-01-069-0060-26,No,68,85,66,–,3,1,1,142,–,4,151,8.96,16.85,High,7th Grade,12th Grade,1,3,West Central
Waverly Elementary School- Waverly CUSD 6,Waverly CUSD 6,1.06901E+13,,1.74128E+11,1,School,Waverly Elementary School,Waverly,Morgan,UNIT,SMALL,ELEMENTARY,PK - 6,23.4,Commendable,211,92.9,,,,,,,18.5,18.5,,47.9,5.7,,94.3,9.3,,,,,14.5,5,,,,,87,,,4,,,33,2,30,2,44,3,45,3,28,2,83.9,67.9,16,121,14,121,28.8,40.8,12,36,35.3,,,16.2,14,17,,,16,1,,,,,,,,,,,4684,83.9,67.9,87,28,41,32,30,22,1,17,41,35,54,32,15,46,26,1,92,43,50,45,24,,61,32,50,32,,40,38,14,47,41,46,26,32,33,,28,41,33,30,44,45,28,1,-3,Illinois,Waverly Elementary School,1.06901E+13,0,Waverly CUSD 6,1741280,42-Rural: Distant,4,0.464454976,0.45971564,,0.018957346,0.023696682,0.023696682,0.900473934,,0.033175355,13.29,211,5-Title I schoolwide school,IL-01-069-0060-26-0106900602002,IL-01-069-0060-26,No,98,114,97,–,4,5,5,190,–,7,211,15.88,13.29,Elementary,Prekindergarten,6th Grade,1,3,West Central
Meredosia-Chambersburg High Sch- Meredosia-Chambersburg CUSD 11,Meredosia-Chambersburg CUSD 11,1.06901E+13,,1.72568E+11,1,School,Meredosia-Chambersburg High Sch,Meredosia,Morgan,UNIT,SMALL,HIGH SCHOOL,12-Sep,26.5,,47,89.4,,,,,,,,,,70.2,,,84.6,,13,26,,75,8.4,5,,,,,82.6,,,3,,,40,3,33,2,21,2,26,2,42,3,99.9,99.9,0,15,0,15,,,,,,13,92.9,58,6,9,,,1,8,,,,,,,,,,,3350,99.9,99.9,45,9,66,15,35,32,1,29,43,50,1,68,42,1,33,50,75,11,56,40,48,4,1,22,28,44,1,49,37,4,66,35,1,37,46,38,22,36,32,40,33,21,26,42,1,-3,Illinois,Meredosia-Chambersburg High Sch,1.06901E+13,0,Meredosia-Chambersburg CUSD 11,1725680,43-Rural: Remote,4,0.604651163,0.441860465,,,,,0.953488372,,0.046511628,5.81,43,6-Not a Title I school,IL-01-069-0110-26-0106901100001,IL-01-069-0110-26,No,26,24,19,–,–,–,–,41,–,2,43,7.4,5.81,High,9th Grade,12th Grade,1,3,West Central
Meredosia-Chambersburg Jr High- Meredosia-Chambersburg CUSD 11,Meredosia-Chambersburg CUSD 11,1.06901E+13,,1.72568E+11,1,School,Meredosia-Chambersburg Jr High,Meredosia,Morgan,UNIT,SMALL,MIDDLE SCHL,8-Jun,4.9,Comprehensive,43,90.7,,,,,,,37.2,37.2,,79.1,,0,89.7,,,,,,12,5,,,,,66.7,,,3,,,,0,,0,,0,26,2,48,3,99.9,99.9,1,45,0,45,32.5,39.6,0,13,0,,,35.4,11,22,,,14,8,,,,,,,,,,,3351,99.9,99.9,40,6,,,,,,,,,,,,,,,,,,,,,1,15,22,46,,72,56,12,42,42,1,7,33,37,,14,27,,,,26,48,2,-1,Illinois,Meredosia-Chambersburg Jr High,1.06901E+13,0,Meredosia-Chambersburg CUSD 11,1725680,43-Rural: Remote,4,0.7,0.433333333,,,,,0.9,,0.1,5.56,30,6-Not a Title I school,IL-01-069-0110-26-0106901101001,IL-01-069-0110-26,No,21,17,13,–,–,–,–,27,–,3,30,5.4,5.56,Middle,7th Grade,8th Grade,1,3,West Central
Meredosia-Chambersburg Elementary Sch- Meredosia-Chambersburg CUSD 11,Meredosia-Chambersburg CUSD 11,1.06901E+13,,1.72568E+11,1,School,Meredosia-Chambersburg Elementary Sch,Meredosia,Morgan,UNIT,SMALL,ELEMENTARY,PK - 5,5.3,Comprehensive,107,94.4,,,,,,,26.2,26.2,,79.4,,,91.1,10.5,,,,,13.2,5,,,,,77.8,,,1,,,57,3,41,3,38,2,37,2,40,3,99.9,94.1,0,50,2,50,34.1,27.7,1,20,5,,,32.6,5,9,,,3,5,1,,,,,,,,,,3349,99.9,94.1,35,17,67,9,27,55,41,60,63,40,44,57,62,36,53,30,85,30,48,54,25,,58,,51,39,,,42,,31,48,,1,29,,,33,30,57,41,38,37,40,2,-2,Illinois,Meredosia-Chambersburg Elem Sch,1.06901E+13,0,Meredosia-Chambersburg CUSD 11,1725680,43-Rural: Remote,4,0.685483871,0.532258065,,,,,0.935483871,,0.056451613,8.58,124,6-Not a Title I school,IL-01-069-0110-26-0106901102003,IL-01-069-0110-26,No,85,57,66,–,–,–,–,116,–,7,124,14.45,8.58,Elementary,Prekindergarten,6th Grade,1,3,West Central
Triopia Jr-Sr High School- Triopia CUSD 27,Triopia CUSD 27,1.06903E+13,,1.71083E+11,1,School,Triopia Jr-Sr High School,Concord,Morgan,UNIT,SMALL,HIGH SCHOOL,12-Jul,21.1,Commendable,184,94,,,,,,,15.2,13.6,,28.3,,0,93.6,7.4,,,,92.9,15.1,3.2,,,,,91.3,,,3,,,33,2,35,2,30,2,55,3,52,3,99.9,72.7,24,90,25,89,45.3,29.5,38,60,63.3,35,89.7,20.1,13,20,,,5,15,,,,,,,,,,,4557,99.9,72.7,183,22,68,20,40,30,8,15,63,25,28,79,23,28,68,58,30,38,22,25,63,45,95,49,84,44,10,87,60,67,66,44,81,37,41,48,52,86,81,33,35,30,55,52,1,-3,Illinois,Triopia Jr-Sr High School,1.06903E+13,0,Triopia CUSD 27,1710830,42-Rural: Distant,4,0.281767956,0.497237569,,,0.038674033,,0.944751381,,0.016574586,10.71,181,1-Title I targeted assistance eligible school-No program,IL-01-069-0270-26-0106902700001,IL-01-069-0270-26,No,51,91,90,–,–,7,–,171,–,3,181,16.9,10.71,High,7th Grade,12th Grade,1,3,West Central
Triopia Grade School- Triopia CUSD 27,Triopia CUSD 27,1.06903E+13,,1.71083E+11,1,School,Triopia Grade School,Concord,Morgan,UNIT,SMALL,ELEMENTARY,PK - 6,18.1,Commendable,202,95.5,,,,,,,11.4,11.4,,25.7,,,94.9,,,,,,17,5,,,,,95.1,,,1,,,56,3,45,3,48,3,77,4,54,3,99.9,99.9,51,111,54,111,43.8,58.9,22,30,73.3,,,9.1,,,,,,,,,,,,,,,,,4556,99.9,99.9,92,22,71,15,46,46,37,49,64,33,58,78,54,20,62,28,60,54,63,50,67,,84,59,60,63,,83,73,60,84,52,40,63,64,11,,79,74,56,45,48,77,54,4,1,Illinois,Triopia Grade School,1.06903E+13,0,Triopia CUSD 27,1710830,42-Rural: Distant,4,0.25,0.451923077,,,0.019230769,,0.951923077,,0.028846154,12.92,208,2-Title I targeted assistance school,IL-01-069-0270-26-0106902702002,IL-01-069-0270-26,No,52,114,94,–,–,4,–,198,–,6,208,16.1,12.92,Elementary,Prekindergarten,6th Grade,1,3,West Central
Jacksonville High School- Jacksonville SD 117,Jacksonville SD 117,1.06912E+13,,1.72028E+11,1,School,Jacksonville High School,Jacksonville,Morgan,UNIT,LARGE,HIGH SCHOOL,12-Sep,27,Targeted,840,76.7,10.8,3.5,1.3,,,7.6,23.3,19.5,2.5,55.7,1.7,,87.9,11.4,223,24.2,4.7,68.4,17.8,4.9,,,,,86.7,,,4,,,,0,,0,,0,,0,,0,0.2,48.5,40,180,32,180,,,72,150,48,184,81.1,40,158,500,Not Provided,,268,232,Not Provided,,,,,,,,,,2955,0.2,48.5,842,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Illinois,Jacksonville High School,1.06912E+13,0,Jacksonville SD 117,1720280,32-Town: Distant,3,0.470974808,0.451259584,,0.008762322,0.031763417,0.092004381,0.779846659,0.00109529,0.08652793,11.37,913,4-Title I schoolwide eligible school-No program,IL-01-069-1170-22-0106911700014,IL-01-069-1170-22,No,430,501,412,–,8,29,84,712,1,79,913,80.28,11.37,High,9th Grade,12th Grade,1,3,West Central
Jacksonville Middle School- Jacksonville SD 117,Jacksonville SD 117,1.06912E+13,1.06912E+13,1.72028E+11,1,School,Jacksonville Middle School,Jacksonville,Morgan,UNIT,LARGE,MIDDLE SCHL,8-Jun,23.4,Comprehensive,704,74.6,9.4,4.8,,,,9.9,23.4,20,1.6,56.1,2.4,30.8,91.6,8,140,18.8,,,20.9,5,,,,,83.1,,,4,,,48,3,42,3,30,2,38,2,50,3,78.9,87,171,695,122,695,40.2,40.9,131,250,53.5,,,24.6,153,548,2,Not Provided,204,340,2,Jacksonville Middle School- Jacksonville SD 117,14212,Middle/Jr. High,14210,1,3,2023,TComp,West Central,2956,78.9,87,706,77,38,55,40,52,19,36,60,32,20,27,39,38,32,18,99,37,42,46,24,,33,46,62,50,,59,83,21,45,48,25,37,27,53,,37,46,48,42,30,38,50,2,-2,Illinois,Jacksonville Middle School,1.06912E+13,1,Jacksonville SD 117,1720280,32-Town: Distant,3,0.556016598,0.514522822,0.005532503,0.008298755,0.044260028,0.105117566,0.73582296,0,0.100968188,12.05,723,5-Title I schoolwide school,IL-01-069-1170-22-0106911701013,IL-01-069-1170-22,No,402,351,372,4,6,32,76,532,0,73,723,59.99,12.05,Middle,5th Grade,8th Grade,1,3,West Central
Eisenhower Elementary School- Jacksonville SD 117,Jacksonville SD 117,1.06912E+13,,1.72028E+11,1,School,Eisenhower Elementary School,Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,21.9,Commendable,306,83.3,6.2,4.6,,,,3.3,20.9,19.6,4.6,39.9,,,94.5,9.8,,,,,25.9,5,,,,,78.6,,,2,,,41,3,34,2,50,3,53,3,43,3,97.6,70.6,42,154,61,154,46.1,45.5,29,46,63,,,13.1,13,44,,,20,24,,,,,,,,,,,2954,97.6,70.6,84,34,13,27,10,43,11,32,41,44,53,20,57,23,42,10,89,54,46,35,19,,51,,68,59,,,51,,68,51,,62,43,,,51,49,41,34,50,53,43,2,-1,Illinois,Eisenhower Elem School,1.06912E+13,0,Jacksonville SD 117,1720280,32-Town: Distant,3,0.32208589,0.5,0.006134969,0.030674847,0.049079755,0.061349693,0.803680982,,0.049079755,14.31,326,5-Title I schoolwide school,IL-01-069-1170-22-0106911702001,IL-01-069-1170-22,No,105,163,163,2,10,16,20,262,–,16,326,22.78,14.31,Elementary,Kindergarten,5th Grade,1,3,West Central
Washington Elementary School- Jacksonville SD 117,Jacksonville SD 117,1.06912E+13,,1.72028E+11,1,School,Washington Elementary School,Jacksonville,Morgan,UNIT,LARGE,ELEMENTARY,K - 5,24.9,Commendable,228,69.3,9.6,4.8,,,,14.9,23.7,21.9,,71.9,6.6,,91.7,9.6,28,13.9,,,19.9,5,,,,,76.9,,,1,,,49,3,58,3,35,2,68,4,54,3,81.5,62.5,14,105,18,105,32.8,40.5,10,31,33.3,,,28.1,30,109,,,12,97,,,,,,,,,,,2962,81.5,62.5,65,24,43,42,45,45,44,46,49,25,56,1,82,20,62,44,94,24,57,60,29,,66,,78,88,,,41,,82,44,,61,61,,,62,64,49,58,35,68,54,3,0,Illinois,Washington Elem School,1.06912E+13,0,Jacksonville SD 117,1720280,32-Town: Distant,3,0.657894737,0.460526316,,0.00877193,0.048245614,0.149122807,0.666666667,,0.127192982,11.04,228,5-Title I schoolwide school,IL-01-069-1170-22-0106911702005,IL-01-069-1170-22,No,150,123,105,–,2,11,34,152,–,29,228,20.66,11.04,Elementary,Kindergarten,5th Grade,9,4,East Central
